#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 08 14 56  2.3  1.5 10.5  1.8  9.9 NNW NNW    AVERAGE  8.4 336
2024 02 08 14 26  2.2  1.5 10.5  1.7  9.9  NW NNW    AVERAGE  8.4 325
2024 02 08 13 56  2.1  1.3 11.1  1.8  9.9 NNW NNW    AVERAGE  8.2 333
2024 02 08 13 26  2.2  1.5 11.1  1.6  9.9 NNW NNW    AVERAGE  8.4 332
2024 02 08 12 56  2.2  1.4 10.5  1.7  9.9 NNW  NW    AVERAGE  8.3 339
2024 02 08 12 26  2.3  1.7 11.1  1.7  9.9 NNW NNW      SWELL  8.6 330
2024 02 08 11 56  2.0  1.3 10.5  1.6  9.9  NW NNW    AVERAGE  8.1 326
2024 02 08 11 26  2.0  1.3 11.1  1.6  9.1 NNW NNW    AVERAGE  8.3 336
2024 02 08 10 56  2.1  1.4 11.8  1.7  9.9 NNW NNW    AVERAGE  8.6 340
2024 02 08 10 26  2.0  1.3 10.5  1.6  9.1 NNW NNW    AVERAGE  8.1 337
2024 02 08 09 56  1.9  1.1 10.5  1.7  9.9 NNW NNW    AVERAGE  7.9 329
2024 02 08 09 26  2.0  1.4 10.5  1.5  9.9 NNW NNW    AVERAGE  8.3 341
2024 02 08 08 56  2.0  1.1 11.1  1.7  9.9 NNW NNW    AVERAGE  8.0 334
2024 02 08 08 26  2.0  1.2 11.1  1.6  9.9 NNW NNW    AVERAGE  7.7 344
2024 02 08 07 56  1.9  1.1 11.1  1.7  9.9 NNW  NW    AVERAGE  7.4 348
2024 02 08 07 26  2.1  1.3 11.1  1.8  9.9 NNW NNW    AVERAGE  7.9 337
2024 02 08 06 56  1.9  0.8 10.5  1.7  8.3 NNW NNW    AVERAGE  6.9 332
2024 02 08 06 26  1.9  1.1 11.8  1.6  9.9   N NNW    AVERAGE  7.4 353
2024 02 08 05 56  2.0  1.3 12.5  1.6  9.9   N NNW    AVERAGE  7.7   2
2024 02 08 05 26  2.0  1.2 10.5  1.6  9.9 NNW NNW    AVERAGE  7.7 330
2024 02 08 04 56  2.0  1.1 11.1  1.7  9.9 NNW NNW    AVERAGE  7.8 332
2024 02 08 04 26  1.9  1.2 12.5  1.6  9.9   N  NW    AVERAGE  8.2 326
2024 02 08 03 56  1.8  1.1 11.1  1.4  9.9 NNW NNW    AVERAGE  7.8 344
2024 02 08 03 26  1.9  1.3 12.5  1.5  9.1   N NNW    AVERAGE  8.1   1
2024 02 08 02 56  1.9  1.2 11.8  1.5  8.3   N  NW    AVERAGE  8.1 357
2024 02 08 02 26  1.8  1.1 12.5  1.4  8.3   N NNW    AVERAGE  7.8   1
2024 02 08 01 56  1.6  1.0 12.5  1.4  9.9   N NNW    AVERAGE  7.8   1
2024 02 08 01 26  1.6  1.1 13.3  1.3  9.1   N NNW    AVERAGE  8.2  11
2024 02 08 00 56  1.7  1.1 13.3  1.3  9.9   N NNW    AVERAGE  8.3   8
2024 02 08 00 26  1.6  1.0 12.5  1.2  8.3   N NNW    AVERAGE  8.2 358
2024 02 07 23 56  1.5  1.0 11.8  1.1  7.7   N  NW    AVERAGE  8.2   1
2024 02 07 23 26  1.6  1.1 13.3  1.1  9.1   N NNW      SWELL  8.8   4
2024 02 07 22 56  1.4  1.0 12.5  1.0  9.1   N NNW      SWELL  8.9 355
2024 02 07 22 26  1.4  1.1 13.3  0.9  9.9   N   N      SWELL  9.6   4
2024 02 07 21 56  1.3  1.0 12.5  0.8  9.9   N   N      SWELL  9.5   8
2024 02 07 21 26  1.2  1.0 13.3  0.8  9.9   N NNW      SWELL  9.5   7
2024 02 07 20 56  1.2  1.0 13.3  0.7  9.9   N NNW      SWELL  9.3 357
2024 02 07 20 26  1.1  0.9 11.8  0.7  9.9   N   N      SWELL  9.0   2
2024 02 07 19 56  1.2  1.0 13.3  0.7  9.9   N   N      SWELL  9.3   5
2024 02 07 19 26  1.1  0.9 13.3  0.7  9.9   N NNE      SWELL  8.4   7
2024 02 07 18 56  1.2  1.0 13.3  0.7  9.9 NNE NNE      SWELL  8.6  12
2024 02 07 18 26  1.2  1.0 12.5  0.7  9.9 NNE   N      SWELL  8.5  15
2024 02 07 17 56  1.2  0.9 13.3  0.8  9.9   N   N      SWELL  7.8   8
2024 02 07 17 26  1.2  0.9 12.5  0.7  9.1   N NNE      SWELL  7.9   5
2024 02 07 16 56  1.2  1.0 13.3  0.8  9.9   N NNE      SWELL  8.0  10
2024 02 07 16 26  1.2  0.9 13.3  0.8  9.9   N NNE      SWELL  7.5   5
2024 02 07 15 56  1.2  0.9 13.3  0.8  9.1   N   N      SWELL  7.3 360
2024 02 07 15 26  1.3  1.0 12.5  0.9  9.9   N   N      SWELL  7.6   5
2024 02 07 14 56  1.4  1.1 11.1  0.9  9.9 NNE   N      SWELL  8.2  12
2024 02 07 14 26  1.4  1.1 12.5  1.0  9.9 NNE   N      SWELL  8.0  12
2024 02 07 13 56  1.5  1.1 13.3  1.0  9.9   N NNE      SWELL  8.0   7
2024 02 07 13 26  1.6  1.3 11.8  1.0  9.9   N   N      SWELL  8.0   7
2024 02 07 12 56  1.5  1.2 12.5  1.0  6.2 NNE  NW      SWELL  7.9  12
2024 02 07 12 26  1.6  1.2 11.8  1.1  6.7 NNE  NW      SWELL  7.9  17
2024 02 07 11 56  1.6  1.2 11.8  1.0  9.9   N   N      SWELL  8.3  10
2024 02 07 11 26  1.5  1.1 11.8  1.0  9.9   N   N      SWELL  8.2  11
2024 02 07 10 56  1.5  1.1 11.1  1.1  6.7 NNE  NW      SWELL  8.0  19
2024 02 07 10 26  1.6  1.1 11.8  1.2  7.1   N  NW    AVERAGE  7.9   7
2024 02 07 09 56  1.7  1.1 11.8  1.2  7.1 NNE  NW    AVERAGE  7.8  12
